Costuri pentru 30 zile
Transport,Cazare,Machiaj,Mancare si Apa, Inchiriere spatiu
9772.042969,184709.671875,314083.875000,223600.000000,83475.054688
Costuri pentru 45 zile
Transport,Cazare,Machiaj,Mancare si Apa, Inchiriere spatiu
9772.042969,277064.531250,471125.812500,335400.000000,103310.968750
Costuri pentru 60 zile
Transport,Cazare,Machiaj,Mancare si Apa, Inchiriere spatiu
9772.042969,369419.343750,628167.750000,447200.000000,141800.437500
Costuri pentru 100 zile
Transport,Cazare,Machiaj,Mancare si Apa, Inchiriere spatiu
9772.042969,615698.937500,1046946.250000,745333.312500,214267.312500
