Meniu pentru 30 zile
interval meniu,meniu normal,meniu vegetarian,meniu flexitarian
1-3,ciorba de potroace | legume cu curcan | cremsmit,Butternut Squash Soup | BROCCOLI MANICOTTI WITH BURRATA | crema de zahar ars,Sweet Potato Soup | EASY BAKED TACOS | lavacake
4-6,ciorba de fasole | musaca | crema de zahar ars,Sweet Potato Soup | SAGEY MUSHROOM WALNUT ROAST | rulada,Lentil Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | cheesecake
7-9,ciorba de burta | ardei umplut | coliva,Cream of Spinach Soup | EASY BAKED TACOS | inghetata,Butternut Squash Soup | EASY BAKED TACOS | coliva
10-12,supa cu taitei | cartofi cu frpitura | rulada,Roasted Carrot Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | inghetata,Butternut Squash Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | alba ca zapada
13-15,ciorba de burta | lasagna | chec,Tomato Soup | EASY BAKED TACOS | orez cu lapte,Cream of Spinach Soup | SAGEY MUSHROOM WALNUT ROAST | alba ca zapada
16-18,supa cu galuste | musaca | inghetata,Cream of Spinach Soup | SAGEY MUSHROOM WALNUT ROAST | inghetata,Roasted Carrot Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | crema de zahar ars
19-21,supa a la grec | ardei umplut | cremsmit,Cream of Spinach Soup | BROCCOLI MANICOTTI WITH BURRATA | alba ca zapada,Pumpkin Soup | FARMERS MARKET VEGGIE ENCHILADAS | chec
22-24,supa cu galuste | snitel | chec,Lentil Soup | FARMERS MARKET VEGGIE ENCHILADAS | crema de zahar ars,Cream of Spinach Soup | FARMERS MARKET FRIED RICE | inghetata
25-27,bors de peste | snitel | rulada,Pumpkin Soup | ITALIAN BAKED BEANS AND GREENS | lavacake,Vegetable Soup | BROCCOLI MANICOTTI WITH BURRATA | cremsmit
28-30,ciorba de fasole | snitel | cremsmit,Roasted Cauliflower Soup | EGGPLANT LASAGNA | inghetata,Tomato Soup | FARMERS MARKET VEGGIE ENCHILADAS | chec
Meniu pentru 45 zile
interval meniu,meniu normal,meniu vegetarian,meniu flexitarian
1-3,bors de peste | legume cu curcan | inghetata,Sweet Potato Soup | FARMERS MARKET FRIED RICE | coliva,Pumpkin Soup | EASY BAKED TACOS | cremsmit
4-6,ciorba de fasole | mancare de cartofi | inghetata,Asparagus Soup | ORECCHIETTE PASTA WITH BROCCOLI SAUCE | rulada,Sweet Potato Soup | EASY BAKED TACOS | alba ca zapada
7-9,ciorba de fasole | lasagna | coliva,Asparagus Soup | FREGOLA WITH CORN, ZUCCHINI & BASIL | cremsmit,Tomato Soup | SAGEY MUSHROOM WALNUT ROAST | rulada
10-12,ciorba de fasole | mancare de cartofi | crema de zahar ars,Pumpkin Soup | EGGPLANT LASAGNA | lavacake,Sweet Potato Soup | SAGEY MUSHROOM WALNUT ROAST | lavacake
13-15,supa crema de legume | legume cu curcan | orez cu lapte,Roasted Cauliflower Soup | EGGPLANT LASAGNA | chec,Lentil Soup | FARMERS MARKET FRIED RICE | chec
16-18,supa cu taitei | cartofi cu frpitura | coliva,Tomato Soup | SAGEY MUSHROOM WALNUT ROAST | cheesecake,Pumpkin Soup | EGGPLANT LASAGNA | lavacake
19-21,bors de peste | lasagna | alba ca zapada,Pumpkin Soup | FARMERS MARKET FRIED RICE | inghetata,Cream of Spinach Soup | EASY BAKED TACOS | crema de zahar ars
22-24,ciorba de fasole | musaca | lavacake,Vegetable Soup | FARMERS MARKET VEGGIE ENCHILADAS | coliva,Sweet Potato Soup | CACIO E PEPE | orez cu lapte
